City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vilyuysk,63.7553,121.6247,-45.56,100,97,1.34,RU,1701978445
1,vila velha,-20.3297,-40.2925,29.97,74,20,9.26,BR,1701978600
2,puerto natales,-51.7236,-72.4875,17.25,42,0,5.66,CL,1701978412
3,constantia,44.1833,28.65,1.5,94,100,8.95,RO,1701978600
4,whitehorse,60.7161,-135.0538,-4.57,85,75,7.2,CA,1701978600
5,salinas,36.6777,-121.6555,16.71,66,20,1.54,US,1701978316
6,albany,42.6001,-73.9662,0.1,85,100,1.24,US,1701978601
7,palmer,42.1584,-72.3287,1.03,56,100,1.54,US,1701978601
8,kruisfontein,-34.0033,24.7314,19.38,57,0,2.87,ZA,1701978381
9,vanino,49.0869,140.2543,-5.6,64,100,9.45,RU,1701978601
10,port-aux-francais,-49.35,70.2167,4.03,74,91,13.6,TF,1701978315
11,grytviken,-54.2811,-36.5092,0.16,87,55,7.5,GS,1701978302
12,dudinka,69.4058,86.1778,-24.62,98,19,4.92,RU,1701978602
13,hermanus,-34.4187,19.2345,18.76,90,11,4.66,ZA,1701978547
14,karymskoye,51.6167,114.35,-22.96,100,57,1.33,RU,1701978602
15,kargasok,59.0556,80.8572,-24.46,91,100,3.58,RU,1701978603
16,thompson,55.7435,-97.8558,-7.91,93,75,0.0,CA,1701978319
17,wailua homesteads,22.0669,-159.378,25.42,80,0,2.57,US,1701978603
18,adamstown,-25.066,-130.1015,22.79,75,30,5.39,PN,1701978603
19,happy valley-goose bay,53.3168,-60.3315,-4.83,68,100,8.75,CA,1701978312
20,isafjordur,66.0755,-23.124,2.02,64,40,10.29,IS,1701978334
21,sylt-ost,54.8833,8.35,-0.95,100,75,4.63,DE,1701978604
22,kone,-21.0595,164.8658,24.4,62,100,2.65,NC,1701978467
23,ushuaia,-54.8,-68.3,12.79,62,0,8.75,AR,1701978605
24,stanley,54.868,-1.6985,4.6,96,75,5.66,GB,1701978401
25,itororo,-15.1169,-40.0703,29.18,49,70,2.79,BR,1701978605
26,port lincoln,-34.7333,135.8667,20.7,62,100,2.2,AU,1701978605
27,tiksi,71.6872,128.8694,-33.0,99,82,2.58,RU,1701978606
28,saint-pierre,-21.3393,55.4781,25.32,83,100,1.03,RE,1701978437
29,lihue,21.9789,-159.3672,25.76,75,0,2.57,US,1701978606
30,blackmans bay,-43.0167,147.3167,12.07,89,100,0.45,AU,1701978354
31,charikar,35.0136,69.1714,6.84,24,100,1.57,AF,1701978606
32,nova sintra,14.8667,-24.7167,21.53,74,100,6.76,CV,1701978607
33,ilulissat,69.2167,-51.1,-0.99,47,20,1.54,GL,1701978607
34,lebu,-37.6167,-73.65,15.61,77,2,6.76,CL,1701978332
35,karagandy,49.8019,73.1021,-21.03,79,76,3.01,KZ,1701978607
36,bilibino,68.0546,166.4372,-37.19,100,81,1.07,RU,1701978607
37,mount gambier,-37.8333,140.7667,19.1,58,92,2.08,AU,1701978441
38,nemuro,43.3236,145.575,1.48,65,77,13.55,JP,1701978326
39,avarua,-21.2078,-159.775,26.03,69,75,7.72,CK,1701978608
40,kayangel,8.0823,134.7173,28.09,73,45,5.05,PW,1701978608
41,edinburgh of the seven seas,-37.0676,-12.3116,14.88,83,100,7.06,SH,1701978608
42,sambava,-14.2667,50.1667,25.12,84,100,5.0,MG,1701978609
43,west island,-12.1568,96.8225,25.99,83,75,5.66,CC,1701978390
44,college,64.8569,-147.8028,-18.01,84,20,3.6,US,1701978609
45,luganville,-15.5333,167.1667,26.32,86,100,4.87,VU,1701978609
46,colonia,50.9333,6.95,2.46,83,20,3.6,DE,1701978609
47,bhamo,24.2667,97.2333,17.97,100,100,0.45,MM,1701978610
48,ancud,-41.8697,-73.8203,14.94,62,0,4.79,CL,1701978467
49,qaqortoq,60.7167,-46.0333,2.99,58,100,7.7,GL,1701978433
50,port elizabeth,-33.918,25.5701,20.61,94,0,0.0,ZA,1701978372
51,north bay,46.3168,-79.4663,-1.05,92,100,1.54,CA,1701978456
52,bardai,11.65,7.2333,22.99,18,92,3.28,NG,1701978406
53,hammerfest,70.6634,23.6821,-4.75,63,0,1.54,NO,1701978610
54,fortaleza,-3.7227,-38.5247,30.6,68,20,8.23,BR,1701978390
55,forster,-32.1667,152.5167,23.49,85,39,1.18,AU,1701978611
56,kristiansund,63.1115,7.732,-1.64,69,0,2.57,NO,1701978611
57,ribeira grande,38.5167,-28.7,18.22,77,40,7.2,PT,1701978611
58,waitangi,-43.9535,-176.5597,13.79,83,80,0.89,NZ,1701978311
59,yellowknife,62.456,-114.3525,-10.71,92,75,3.6,CA,1701978478
60,tezu,27.9167,96.1667,16.13,93,100,1.16,IN,1701978612
61,margaret river,-33.95,115.0667,13.76,74,1,5.04,AU,1701978612
62,labytnangi,66.6572,66.4183,-22.06,86,100,3.69,RU,1701978612
63,alofi,-19.0595,-169.9187,27.94,78,40,4.12,NU,1701978612
64,iqaluit,63.7506,-68.5145,-15.15,84,20,5.66,CA,1701978570
65,vico del gargano,41.8983,15.9576,4.7,67,10,5.56,IT,1701978612
66,grande prairie,55.1667,-118.8027,-3.9,80,20,0.0,CA,1701978613
67,boda,4.3189,17.4695,23.27,84,99,0.76,CF,1701978613
68,la sarre,48.8002,-79.1996,-3.04,88,99,2.22,CA,1701978365
69,masterton,-40.9597,175.6575,16.6,69,9,1.76,NZ,1701978613
70,kolonia town,6.964,158.206,29.0,74,100,4.12,FM,1701978613
71,igis,46.9453,9.5722,2.78,65,10,4.59,CH,1701978613
72,ngereklmadel,7.4883,134.4856,25.05,88,40,2.06,PW,1701978614
73,souillac,-20.5167,57.5167,26.21,89,20,1.54,MU,1701978416
74,invercargill,-46.4,168.35,12.32,64,98,3.77,NZ,1701978472
75,luderitz,-26.6481,15.1594,17.11,82,0,6.46,NA,1701978614
76,zaysan,47.4667,84.8667,-9.87,88,88,1.7,KZ,1701978615
77,mahibadhoo,3.7833,72.9667,26.53,85,100,10.12,MV,1701978615
78,hawaiian paradise park,19.5933,-154.9731,26.6,83,75,2.57,US,1701978615
79,qinzhou,21.95,108.6167,17.33,69,86,1.83,CN,1701978616
80,tura,25.5198,90.2201,16.11,96,100,2.38,IN,1701978617
81,cartagena,10.3997,-75.5144,32.79,62,20,4.63,CO,1701978370
82,batang,-6.4846,110.7083,26.44,83,100,2.02,ID,1701978617
83,nuuk,64.1835,-51.7216,2.34,51,100,7.2,GL,1701978617
84,arraial do cabo,-22.9661,-42.0278,33.98,51,0,8.75,BR,1701978617
85,bridgewater,44.3835,-64.5155,-0.21,82,56,6.17,CA,1701978617
86,howrah,22.5892,88.3103,19.0,94,75,2.57,IN,1701978457
